Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),modalprice,pricedate
94,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1550,1600,1550,20-Jan-16
95,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1950,1750,18-Jan-16
96,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1600,1500,14-Jan-16
97,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1300,1950,1900,13-Jan-16
98,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1525,1550,1525,12-Jan-16
99,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1650,1650,11-Jan-16
100,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1800,1800,8-Jan-16
101,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1675,1750,1700,7-Jan-16
102,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,4-Jan-16
103,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,28-Dec-15
104,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1525,1525,1525,26-Dec-15
105,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1700,1650,23-Dec-15
106,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1700,1700,22-Dec-15
107,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1525,1511,21-Dec-15
108,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1700,1800,1750,18-Dec-15
109,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,2000,2000,2000,12-Dec-15
110,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1625,1625,1625,9-Dec-15
111,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1650,1650,8-Dec-15
112,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1450,2000,1650,7-Dec-15
113,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1650,1650,1650,5-Dec-15
114,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1800,1800,1800,4-Dec-15
115,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1611,1800,1611,1-Dec-15
116,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,28-Nov-15
117,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1801,1801,1801,26-Nov-15
118,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1612,1612,1612,23-Nov-15
119,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,18-Nov-15
120,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,17-Nov-15
121,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1400,1400,1400,14-Nov-15
122,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,7-Nov-15
123,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1475,1475,1475,26-Oct-15
124,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1376,1410,1376,22-Oct-15
125,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1500,1500,1500,8-Oct-15
126,Sholapur,Barshi,Bajra(Pearl Millet/Cumbu),Other,FAQ,1600,1600,1600,6-Oct-15
